Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Cote d'Ivoire,CIV,Population growth (annual %),SP.POP.GROW,1,3.588278403,3.761778337,3.846342869,3.824802988,3.746599288,3.644388863,3.594426839,3.650951939,3.836586191,4.092601012,4.347039939,4.536292523,4.651015195,4.67834015,4.646204187,4.595336773,4.550069488,4.504890096,4.465277609,4.42491468,4.384138209,4.328491116,4.243447333,4.12562086,3.991510462,3.847948879,3.722440347,3.639690102,3.608812603,3.606675304,3.603345191,3.575491686,3.521456277,3.434919056,3.324635955,3.224715856,3.12509846,2.98687471,2.803037112,2.598674067,2.392101929,2.221114226,2.11353752,2.085444797,2.114434812,2.158036592,2.195517817,2.240257565,2.287160067,2.334565367,2.385511855,2.435928938,2.476674322,2.504548687,2.522094681,2.536099761,2.54780739,2.552358861,2.549336239,1
Croatia,HRV,Population growth (annual %),SP.POP.GROW,1,0.652691769,0.703493717,0.687764981,0.641644859,0.657318059,0.693189535,0.647030994,0.619120481,0.59065266,0.471663947,0.430213632,0.434347669,0.439359615,0.45752584,0.475900352,0.527232827,0.51975241,0.470732948,0.298457162,0.108846981,0.254622427,0.491578573,0.516977875,0.471830569,0.450494713,0.425115597,0.386822818,0.325689138,0.25314882,0.211805086,-1.866573531,-2.443855137,0.537147004,1.114544311,-0.690119514,-1.371540059,-0.487835515,-0.061431194,-0.432031162,-0.986434859,-3.847670727,0.058871291,0.028469923,0.027904279,0.128732789,0.023523124,-0.02185266,-0.011879458,-0.105027517,-0.226821271,-0.345264228,-0.305655945,-0.278509063,-0.407343185,-0.824099164,-0.698383457,-1.200610165,-0.893486928,-0.498888696,1
Cuba,CUB,Population growth (annual %),SP.POP.GROW,1,2.078031047,2.202094579,2.251947244,2.205095446,2.093943406,1.957526322,1.842247499,1.764705268,1.741812017,1.750162263,1.769516925,1.757807943,1.686018229,1.536710549,1.337414427,1.134142972,0.957845027,0.804353866,0.684679687,0.596815162,0.50059988,0.417638289,0.41148316,0.503125213,0.658357553,0.847937292,1.003831386,1.072019303,1.018702076,0.881624408,0.719825356,0.587065753,0.491683186,0.454564564,0.45833058,0.467675985,0.460021264,0.444517326,0.41565171,0.376028645,0.343070038,0.31285576,0.263339744,0.188455802,0.099653761,-0.00296588,-0.089959437,-0.125853285,-0.091365268,-0.007812033,0.096498608,0.18165923,0.227322223,0.214098396,0.157999772,0.091156671,0.03660521,-0.009886496,-0.041064554,1
Curacao,CUW,Population growth (annual %),SP.POP.GROW,1,1.03527111,1.798594091,1.886862986,1.733324205,1.578191868,1.041384968,1.06106038,1.550106818,1.614152743,1.50218612,1.814322963,0.217554195,-0.541712399,0.974731946,0.523061566,0.180887604,0.040152849,-0.750843017,-0.330866767,0.128425254,0.39640056,0.985513282,0.702386211,0.515344312,0.506154023,-0.032091901,-0.793117357,-1.464560114,-1.56456291,-1.051535839,-0.688056323,-0.340600021,0.268553409,0.229122134,0.351314684,0.800841488,0.443290344,-1.70475051,-3.553737816,-4.075386132,-3.661779858,0.12236112,2.062102467,1.725029528,2.550073807,2.568114257,1.974862198,1.258225307,0.651152062,1.265514155,1.420897663,0.829929595,1.133678907,1.347641396,1.319593903,1.060316441,0.319536038,-0.234393419,-1.425633433,1
Cyprus,CYP,Population growth (annual %),SP.POP.GROW,1,0.602964435,0.224593409,0.038421467,0.123126104,0.403763599,0.744767756,1.019711934,1.20811385,1.265321615,1.23011978,1.173141832,1.143297874,1.125650688,1.131181534,1.14839086,1.189661527,1.209037502,1.153607282,0.99878754,0.790975334,0.548242361,0.3662899,0.342767833,0.522637131,0.852153617,1.222451268,1.537381678,1.794479087,1.959429985,2.051648665,2.130632904,2.208413745,2.239871528,2.218158216,2.159383825,2.087065272,2.013767371,1.945955936,1.890670179,1.844985508,1.784697862,1.722906073,1.684766829,1.68120165,1.693210951,1.721561603,1.726368247,1.664159945,1.515871507,1.314447193,1.092417604,0.903859855,0.774057448,0.733317428,0.752185523,0.789478236,0.807965016,0.809225398,0.779788192,1
Czech Republic,CZE,Population growth (annual %),SP.POP.GROW,1,-0.160042501,0.395694491,0.477058972,0.58890324,0.528566073,0.425318535,0.323870353,0.237687869,0.204663762,-0.389873238,-0.317563701,0.41450322,0.552141692,0.664900388,0.699965182,0.667037111,0.598799763,0.541813438,0.489354496,0.115087338,-0.034962755,0.138100551,0.087505593,0.06155688,0.066820435,0.049411624,0.049213263,0.076879259,0.055917204,-0.267830773,-0.240064842,0.102241165,0.103947042,0.036121766,-0.061314063,-0.116381299,-0.107762749,-0.094744752,-0.102175934,-0.280414108,-0.375719704,-0.192901618,-0.028620591,0.030434848,0.13832598,0.270795629,0.583542205,0.829412603,0.569729451,0.291361674,0.206747667,0.139925656,0.033169946,0.105277582,0.196588748,0.192048416,0.265642664,0.334427262,0.373537317,1
Denmark,DNK,Population growth (annual %),SP.POP.GROW,1,0.698142052,0.778454922,0.787727453,0.799212891,0.779239735,0.803006033,0.788419835,0.608832366,0.552993325,0.751422718,0.694895771,0.571991415,0.604488383,0.46559401,0.288268796,0.251350792,0.311445516,0.310596093,0.245630489,0.12160362,-0.028405212,-0.073481,-0.068666212,-0.052376727,0.040526889,0.133727781,0.12666434,0.048593386,0.059987665,0.16245632,0.259518212,0.330671402,0.333166396,0.337707376,0.520962181,0.565926342,0.415564969,0.363162524,0.330886246,0.334233619,0.358315679,0.319487125,0.272010444,0.258432282,0.275481733,0.328645159,0.443466054,0.58754759,0.535079062,0.444197155,0.411737855,0.376272243,0.416901361,0.507053283,0.70642385,0.780392644,0.643350904,0.495838926,0.429153164,1
Djibouti,DJI,Population growth (annual %),SP.POP.GROW,1,5.650590348,6.248269064,6.596790543,6.683209372,6.634769478,6.648399315,6.712894412,6.671371482,6.494468731,6.315861402,5.905718841,5.653894084,6.137266611,7.388343016,8.857016619,10.32054897,11.00770824,10.4380502,8.72383475,6.584685751,4.354705019,2.718897092,2.190126214,3.054678573,4.713545203,6.536155359,7.618659755,7.590790768,6.382654617,4.598379808,2.747487063,1.343831245,0.55790389,0.62392364,1.280715871,2.082581181,2.6385242,2.922689218,2.827117129,2.484539383,2.127615157,1.882137268,1.685841505,1.562421579,1.49868677,1.433524124,1.3610091,1.345061526,1.394637918,1.483821493,1.591180954,1.679899653,1.730858448,1.728785489,1.6878089,1.640637851,1.599962382,1.557873607,1.515180502,1
Dominica,DMA,Population growth (annual %),SP.POP.GROW,1,1.687043804,1.544570352,1.498827098,1.58938731,1.724555007,1.938408149,2.05235679,1.980668292,1.68474323,1.217403878,0.694052884,0.227496452,0.009758206,0.089173755,0.405849226,0.773762393,1.076029931,1.142683902,0.899234813,0.477810703,-0.006639092,-0.407153684,-0.695720131,-0.852136158,-0.884046777,-0.916745136,-0.957236746,-0.886409159,-0.683433341,-0.430772513,-0.063923635,0.241275185,0.406012936,0.298856954,0.07738795,-0.228114494,-0.476208198,-0.588136711,-0.499929623,-0.265261653,0.015792005,0.252333501,0.375883876,0.401475461,0.293677634,0.182581239,0.108823935,0.04519072,0.033879643,0.038100883,0.053598884,0.069071972,0.071840601,0.097114032,0.137768178,0.174047346,0.21153652,0.233431052,0.255171543,1
Dominican Republic,DOM,Population growth (annual %),SP.POP.GROW,1,3.345015486,3.312936561,3.271388882,3.219185923,3.160305635,3.098440308,3.036000751,2.974086224,2.913339829,2.853754477,2.793892206,2.733912663,2.676572033,2.621275184,2.568311938,2.516982741,2.466223857,2.413361196,2.358550794,2.302875867,2.248541815,2.197098145,2.150345613,2.108425718,2.070487725,2.032549246,1.995594815,1.964373129,1.939946977,1.919276723,1.901139209,1.879411402,1.847231409,1.802313633,1.748614536,1.693115709,1.641772918,1.595473223,1.556490713,1.522967473,1.491305689,1.459008715,1.426367483,1.392770501,1.359195692,1.325957163,1.295178505,1.268457779,1.246805455,1.228584074,1.21066679,1.192277887,1.174368643,1.157205552,1.13957128,1.122509257,1.103628391,1.078841148,1.046460513,1
Ecuador,ECU,Population growth (annual %),SP.POP.GROW,1,2.831785956,2.84789233,2.865174906,2.885200787,2.904546495,2.921173088,2.930835573,2.932245437,2.92440673,2.908901093,2.891245926,2.870969666,2.84381083,2.808878548,2.769554389,2.728294304,2.689478263,2.654545526,2.625602094,2.600928266,2.575889456,2.550199925,2.526811829,2.50605396,2.486474645,2.466164984,2.443789201,2.419660925,2.393243584,2.364411356,2.333451074,2.299960305,2.263604202,2.224186656,2.181622631,2.14159625,2.099269021,2.045603524,1.977827643,1.902742082,1.824913249,1.756103468,1.706463013,1.681486218,1.673564212,1.675026183,1.672866586,1.659163647,1.628720225,1.589348217,1.53872479,1.498947998,1.496886223,1.543740767,1.617888472,1.70688086,1.768538648,1.765611201,1.679213179,1
