Country Name,Country Code,Series Name,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Dominican Republic,DOM,"Population ages 0-14, total",1588640,1653428,1718266,1782325,1844139,1902623,1959339,2012206,2061584,2108080,2151892,2194092,2233465,2270353,2305037,2337654,2369425,2399289,2427715,2455261,2482178,2508547,2535103,2561823,2588449,2614750,2640209,2665419,2690742,2716892,2744159,2769788,2797386,2825626,2852425,2876371,2898324,2916159,2930909,2944431,2957530,2967315,2978067,2988088,2995124,2998107,2997128,2992359,2984479,2975651,2967711,2963575,2961566,2961447,2962490,2964047,2966849,2970025,2973176,2975625,..
Dominican Republic,DOM,"Population, total",3294224,3406280,3521018,3638109,3757132,3877765,3999796,4123092,4247558,4373124,4499720,4627210,4755459,4884461,5014189,5144637,5275770,5407500,5539590,5671797,5803927,5935909,6067770,6199661,6331764,6464229,6596962,6729933,6863441,6997888,7133494,7270409,7408342,7546463,7683707,7819247,7952763,8084407,8214426,8343283,8471321,8598601,8724975,8850317,8974444,9097257,9218686,9338861,9458075,9576737,9695121,9813210,9930911,10048224,10165178,10281680,10397743,10513131,10627165,10738958,..
Ecuador,ECU,GDP per capita (current US$),455.4615868,375.2216257,315.6882445,368.6299561,440.5597153,455.1980788,449.9202903,459.2788814,450.9997878,527.9004426,471.6307195,440.8573691,495.535764,588.3367983,970.0114387,1105.420081,1264.912873,1493.331358,1572.40136,1821.047648,2238.214842,2660.611503,2369.950375,1988.787323,1912.431487,1891.560601,1648.015802,1464.493244,1337.889484,1390.213114,1489.529509,1622.208243,1688.505067,1727.754058,2026.112715,2132.906969,2155.517229,2356.370843,2293.889735,1578.933536,1445.279324,1894.615169,2172.101877,2425.851842,2691.278081,3002.136867,3328.882972,3567.836438,4249.019262,4231.615798,4633.590358,5200.55579,5682.045007,6056.330827,6377.09153,6124.491643,6060.093329,6213.501276,6295.935399,6183.823825,..
Ecuador,ECU,"GDP per capita, PPP (constant 2017 international $)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8293.738243,8450.15223,8432.620234,8406.553071,8571.737681,8575.675664,8539.33434,8723.832677,8826.386999,8243.407072,8176.344448,8350.880802,8541.672307,8625.792511,9178.419426,9503.68919,9757.371633,9805.649155,10257.40034,10148.8577,10340.96823,10984.28521,11431.3734,11818.58608,12078.46984,11896.37663,11551.61667,11617.90876,11561.74921,11375.33118,..
Ecuador,ECU,Refugee population by country or territory of origin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5,27,38,48,174,203,216,215,507,492,669,649,815,720,718,772,878,1329,1063,1029,859,912,848,711,807,1006,1041,1251,1424,1652,..
Ecuador,ECU,Population growth (annual %),..,2.831785956,2.84789233,2.865174906,2.885200787,2.904546495,2.921173088,2.930835573,2.932245437,2.92440673,2.908901093,2.891245926,2.870969666,2.84381083,2.808878548,2.769554389,2.728294304,2.689478263,2.654545526,2.625602094,2.600928266,2.575889456,2.550199925,2.526811829,2.50605396,2.486474645,2.466164984,2.443789201,2.419660925,2.393243584,2.364411356,2.333451074,2.299960305,2.263604202,2.224186656,2.181622631,2.14159625,2.099269021,2.045603524,1.977827643,1.902742082,1.824913249,1.756103468,1.706463013,1.681486218,1.673564212,1.675026183,1.672866586,1.659163647,1.628720225,1.589348217,1.53872479,1.498947998,1.496886223,1.543740767,1.617888472,1.70688086,1.768538648,1.765611201,1.679213179,..
Ecuador,ECU,"Population ages 0-14, total",1972037,2040870,2116871,2196439,2273525,2345298,2421239,2491549,2557893,2623528,2690136,2763724,2835759,2906432,2975166,3041392,3110113,3175569,3238056,3298027,3355890,3415786,3474066,3530666,3585504,3638810,3697134,3753082,3807460,3861231,3914733,3971915,4027387,4081364,4134123,4185692,4240480,4295337,4347951,4394889,4434201,4476975,4509586,4534971,4557939,4581120,4596630,4615018,4633671,4648791,4659041,4669193,4676229,4682804,4693422,4711020,4734092,4760597,4788505,4813715,..
Ecuador,ECU,"Population, total",4543666,4674172,4809201,4948986,5093854,5243977,5399422,5560012,5725459,5895367,6069376,6247418,6429379,6614843,6803280,6994334,7187787,7383724,7582353,7784072,7989186,8197652,8409397,8624594,8843462,9066109,9292474,9522360,9755579,9991870,10230934,10472475,10716129,10961466,11208001,11455204,11703174,11951452,12198449,12442115,12681123,12914667,13143465,13369678,13596388,13825847,14059384,14296557,14535739,14774424,15011117,15243883,15474102,15707474,15951838,16212020,16491115,16785361,17084357,17373662,..
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),..,..,..,..,..,162.608483,168.9632242,174.8625879,180.4108756,193.5859804,233.0137163,243.8067877,257.5887293,273.6985848,244.747202,301.7493585,337.7743775,357.0779478,358.8477275,426.3464634,500.3550452,498.5591159,607.2815094,662.68726,708.1957624,792.8239454,815.2487916,778.1168274,655.0677687,725.6297363,765.6420464,651.0775817,713.4525239,777.8577091,849.4524991,965.11073,1063.333095,1208.719901,1281.39672,1343.551963,1450.476242,1391.707846,1228.937975,1138.664673,1063.003663,1187.51969,1398.190624,1667.843721,2044.527855,2329.23948,2644.817039,2791.954962,3232.648892,3264.378787,3378.831358,3598.970948,3525.020165,2440.510173,2549.132252,3020.03135,..
"Egypt, Arab Rep.",EGY,"GDP per capita, PPP (constant 2017 international $)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6086.687079,6016.907283,6152.928794,6203.067989,6321.250708,6483.314684,6671.089707,6897.521135,7138.211123,7422.835299,7744.715238,7867.507552,7905.41263,8007.645579,8184.065808,8397.033222,8814.146853,9274.976817,9763.504695,10031.03184,10340.07435,10302.44297,10301.10781,10290.19302,10353.66841,10570.44546,10795.80863,11014.48614,11366.33633,11763.25364,..
