Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Samoa,WSM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2397.690998,2404.131051,2431.862101,2566.286918,2530.606747,2734.052415,2964.616026,3019.213326,3106.290814,3205.72405,3487.169914,3790.586652,3994.694816,4226.804185,4513.227054,4816.581712,5027.896829,5454.115735,5579.016411,5313.75775,5360.970588,5655.137396,5480.605908,5505.993534,5570.620554,5831.52564,6336.645642,6495.387724,6478.707771,6787.131426,1
San Marino,SMR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43195.36941,46456.42296,50814.4323,52469.8279,55899.42998,56226.24965,58682.45153,62180.62483,64812.4483,68453.56861,74380.64071,74527.86293,66510.57366,62761.4508,57943.44687,54447.092,53466.73642,55420.29306,55598.21607,57474.11698,58860.75306,60750.44776,1,1
Sao Tome and Principe,STP,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1841.878528,1880.512595,2001.066219,2087.583577,2250.633381,2464.244675,2540.201713,2722.688369,2734.02087,2876.891114,2997.152472,2954.579167,3318.885261,3817.417926,3837.729243,3889.389392,3915.732375,4037.852314,4128.062159,1
Saudi Arabia,SAU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32087.70671,36925.56487,38114.12865,37443.80712,37504.46749,37498.53369,38378.79081,38712.27844,39514.78484,37791.23403,39882.62318,39240.7681,37667.03931,41441.85378,44601.78641,47161.11299,48552.53335,49394.00348,52047.05485,49933.18396,51529.83578,56132.95753,57364.43222,55907.39417,55725.39756,48611.14527,45485.65957,47309.1246,48719.86405,48908.48238,1
Senegal,SEN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1476.50368,1519.186606,1526.927019,1537.885105,1526.962856,1599.292961,1619.835079,1658.671682,1735.06602,1828.611772,1884.199391,1965.906008,1961.682864,2079.526872,2204.703299,2340.569691,2407.340749,2526.431712,2609.140224,2612.154726,2662.686941,2682.693606,2764.783809,2749.221591,2830.699106,2971.344983,3075.934479,3203.900758,3393.00442,3535.568779,1
Serbia,SRB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4827.345301,5228.847381,5718.357998,5998.620854,5531.734658,6021.382546,6484.728138,7224.548923,7637.412181,8479.917193,9181.735046,10196.84432,11224.59479,12632.06165,12546.04315,12806.86247,13746.94867,13933.91998,14629.03831,14659.54911,14922.05991,15734.33289,16534.33908,17563.16537,18989.03966,1
Seychelles,SYC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8966.231977,9399.291813,10254.79096,10918.36554,10771.44393,10747.33307,11315.06228,12736.63574,13691.9391,13874.4235,14271.41998,14240.75378,14200.58519,13767.67706,13786.28654,15424.3274,17027.84417,19209.15833,18738.61104,18599.62547,19387.86253,21922.73953,21565.038,22369.39122,23889.78373,24067.19459,25681.31267,27242.65605,28657.40833,30259.96103,1
Sierra Leone,SLE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,776.4069664,816.0821133,676.1284753,704.7036291,708.8764842,666.743052,689.4637957,656.6871474,668.8076822,652.9793022,693.0118374,639.6249776,786.3705354,835.95782,875.8797585,908.4698623,944.7694539,1020.251561,1070.512776,1088.374466,1134.088556,1203.210272,1405.574424,1746.554465,1787.64913,1586.688648,1596.620542,1642.606593,1702.54097,1789.588431,1
Singapore,SGP,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23835.36946,25552.04336,27044.76875,30088.18296,33086.81823,35129.55709,36914.29067,39332.06578,37602.17799,40007.50679,43833.22096,43136.43028,45120.4077,48756.56255,54301.69775,58717.21715,63910.0847,68628.38256,67576.86283,66149.00465,75294.35655,80052.3915,82064.96119,83001.7878,84423.19134,86974.74762,89386.0794,94940.97079,100051.4344,101375.7753,1
Sint Maarten (Dutch part),SXM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32614.52026,34232.35511,37233.96838,32878.44088,32478.29896,33013.23271,32520.0929,32432.99343,32256.33331,1,1,1
Slovak Republic,SVK,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7163.00048,7457.293044,8057.381849,8681.575531,9390.641296,10082.73219,10622.82464,10714.17713,11380.83103,12391.27334,13312.20331,14165.61206,15212.51348,16639.39412,18891.23977,21200.32864,23725.85776,23102.81271,25171.61311,26049.79238,26933.42222,27967.1723,28991.56583,29924.12155,29651.52413,30907.42279,32574.82314,34177.95276,1
Slovenia,SVN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12356.93107,11630.50786,11262.18966,11885.13516,12800.44447,13602.6579,14282.71593,15277.65022,16055.75135,17083.25123,18007.96618,18956.29,20241.52542,21089.30425,22740.29537,23852.64328,25689.39549,27541.48384,29604.29123,27564.23493,27845.51199,28931.38371,29042.82027,29973.69911,30870.02367,31636.75003,33868.31558,36650.80219,38749.25198,40656.55737,1
Solomon Islands,SLB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1221.941509,1301.90128,1458.650228,1509.100973,1635.921633,1757.265627,1767.771708,1723.504541,1725.436455,1694.652191,1445.486229,1323.152188,1271.979025,1344.055352,1411.468426,1497.183034,1611.374058,1735.89457,1853.137465,1737.972509,1832.831573,2064.595803,2142.507048,2185.868783,2216.265053,2235.826964,2271.613906,2337.642684,2421.015878,2465.520643,1
Somalia,SOM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South Africa,ZAF,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6420.883862,6410.445452,6258.189514,6328.21145,6517.193978,6715.798769,6996.858687,7175.762902,7176.812684,7344.813243,7714.908384,7989.759965,8310.759384,8608.736171,9131.268581,9790.637243,10518.41863,11233.92972,11661.27836,11409.57207,11721.55506,12172.31474,12057.26871,12450.4975,12520.71375,12552.34013,12592.48687,12703.42124,12928.79421,12999.12026,1
South Sudan,SSD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2910.540211,2944.009287,3020.950547,2844.516128,1519.142464,2099.235642,1495.509612,1,1,1,1,1,1
Spain,ESP,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13660.53362,14445.25472,14838.88568,14956.01456,15565.13557,16257.79976,16949.40814,17906.71606,19096.24554,19954.29022,21592.33515,22959.00732,24371.59885,25018.76109,26119.93003,27606.93405,30683.16047,32435.78423,33263.2724,32123.2508,31703.86576,31867.97324,31720.12,32434.0032,33525.74063,34912.47613,37282.44251,39575.53515,40482.58901,42214.13039,1
Sri Lanka,LKA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2306.770067,2464.612444,2601.855812,2817.420983,3010.234809,3216.00947,3376.321566,3634.038699,3828.18522,4029.04885,4339.68402,4335.367214,4542.33594,4860.337881,5218.681236,5670.955129,6242.373143,6795.344794,7287.585222,7550.294887,8194.269658,9007.657363,10315.18025,10852.06404,11256.85605,11557.48705,12224.21577,12584.10442,13168.17142,13620.11848,1
St. Kitts and Nevis,KNA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9360.396349,9468.320827,10018.59469,10836.95573,11520.12923,12260.20073,13089.41981,14097.91233,14066.7954,14596.57158,16303.96737,17373.89078,17857.94138,17340.02482,18298.2415,20462.10425,21056.84722,21552.49023,23119.65506,22162.37257,22094.67597,22768.3058,21486.87409,22152.01154,23951.27439,23921.99162,24927.1923,25355.51718,26510.98282,27448.89535,1
